molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3904783,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCC(F)(F)CC5)n4)c3c2)o1,2.256,PAK4,CHEMBL4523,active,2.256,8.646660904688696,397.3890000000002,3.492600000000002,2,7
CHEMBL3932794,CC1CCCCN1c1ccnc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,2.186,PAK4,CHEMBL4523,active,2.186,8.660349842386315,375.43600000000015,3.6359000000000012,2,7
CHEMBL3917311,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCC5)n4)c3c2)o1,1.997,PAK4,CHEMBL4523,active,1.997,8.699621935129297,361.4090000000002,3.611600000000002,3,7
CHEMBL3908000,CC(C)Nc1ccnc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,2.236,PAK4,CHEMBL4523,active,2.236,8.650528200785613,335.3710000000001,3.0774,3,7
CHEMBL3890347,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)o1,20.77,PAK4,CHEMBL4523,active,20.77,7.682563503464901,362.3930000000002,2.6987000000000005,2,7
CHEMBL3918394,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(-c5ccc(F)cc5)n4)c3c2)o1,42.48,PAK4,CHEMBL4523,active,42.48,7.371815491926587,372.36300000000006,4.063200000000002,2,6
CHEMBL3904737,Nc1nnc(-c2ccc3[nH]cc(-c4nccc(-c5ccccc5F)n4)c3c2)o1,7.002,PAK4,CHEMBL4523,active,7.002,8.154777893570985,372.36300000000006,4.063200000000002,2,6
CHEMBL3927342,Nc1nnc(-c2ccc3[nH]cc(-c4ccccc4F)c3n2)o1,717.26,PAK4,CHEMBL4523,active,717.26,6.144323388129654,295.27700000000004,3.0012000000000008,2,5
CHEMBL3922191,COc1cncc(-c2c[nH]c3ccc(-c4nnc(N)o4)nc23)c1,569.6,PAK4,CHEMBL4523,active,569.6,6.2444300193712,308.30100000000004,2.2657,2,7
CHEMBL3899208,Nc1nnc(-c2ccc3[nH]cc(-c4nccc(N5CCOCC5)n4)c3c2)s1,8.613,PAK4,CHEMBL4523,active,8.613,8.064845552783831,379.4490000000002,2.5622000000000007,2,8
CHEMBL3925503,NCCCNc1nnc(-c2ccc3[nH]cc(-c4ccccc4F)c3c2)s1,154.61,PAK4,CHEMBL4523,active,154.61,6.810762419833169,367.4530000000001,4.253200000000002,3,5
CHEMBL3962808,CN1CCN(c2cccc(-c3c[nH]c4ccc(-c5nnc(N)s5)cc34)n2)CC1,10.9,PAK4,CHEMBL4523,active,10.9,7.962573502059376,391.50400000000013,3.0824000000000007,2,7
CHEMBL3394066,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCCC5)n4)c3c2)s1,41.98,PAK4,CHEMBL4523,active,41.98,7.376957565753618,362.46200000000016,3.9308000000000023,2,6
CHEMBL3986124,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CC5)n4)c3c2)s1,20.07,PAK4,CHEMBL4523,intermediate,20.07,7.697452627512514,349.4230000000001,3.299900000000001,3,7
CHEMBL3394069,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(NC5CCCC5)n4)c3c2)s1,21.11,PAK4,CHEMBL4523,intermediate,21.11,7.675511766692344,376.4890000000002,4.685100000000003,3,6
