molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50
CHEMBL460784,O=C(O)CSc1cc(-c2ccccc2)nc(SCC(=O)O)n1,19000.0,PIM1 kinase,CHEMBL5619,inactive,19000.0,4.721246399047171
CHEMBL510354,Cc1oc(C)c(C(=O)NCC(=O)O)c1C(=O)NCC(=O)O,26000.0,PIM1 kinase,CHEMBL5619,inactive,26000.0,4.585026652029182
CHEMBL467436,Cc1oc(C)c(C(=O)O)c1COc1ccccc1C(=O)O,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356
CHEMBL512260,O=C(O)CN1C(=O)/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)SC1=S,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356
CHEMBL449985,O=C(c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O)c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O,8000.0,PIM1 kinase,CHEMBL5619,intermediate,8000.0,5.096910013008056
CHEMBL467435,O=C(O)Cn1c(CCCCc2nc3ccccc3n2CC(=O)O)nc2ccccc21,4000.0,PIM1 kinase,CHEMBL5619,intermediate,4000.0,5.3979400086720375
CHEMBL510282,Nc1ncnc2[nH]c(SCCC(=O)O)nc12,20000.0,PIM1 kinase,CHEMBL5619,inactive,20000.0,4.698970004336019
CHEMBL512261,Cc1ccc(-c2ccc(CCC(=O)O)n2CC(=O)O)cc1,12000.0,PIM1 kinase,CHEMBL5619,inactive,12000.0,4.920818753952375
CHEMBL466401,O=C(O)CCc1ccc(-c2ccc(F)cc2)n1CC(=O)O,9000.0,PIM1 kinase,CHEMBL5619,intermediate,9000.0,5.045757490560675
CHEMBL460348,O=C(O)c1ccc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356
CHEMBL460347,O=C(O)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,10000.0,PIM1 kinase,CHEMBL5619,inactive,10000.0,5.0
CHEMBL517107,O=C(O)CN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,13000.0,PIM1 kinase,CHEMBL5619,inactive,13000.0,4.886056647693163
CHEMBL409315,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(C(Cc3ccccc3)C(=O)O)C2=O)c2ccccc21,3000.0,PIM1 kinase,CHEMBL5619,intermediate,3000.0,5.522878745280337
CHEMBL517857,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(NC(=O)c3ccccc3O)C2=O)c2ccccc21,11000.0,PIM1 kinase,CHEMBL5619,inactive,11000.0,4.958607314841775
CHEMBL459501,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(c3ccc(Br)cc3)C2=O)c2ccccc21,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356
CHEMBL462260,O=C(O)CN1C(=O)/C(=C2\SC(=S)NC2=O)c2ccccc21,9000.0,PIM1 kinase,CHEMBL5619,intermediate,9000.0,5.045757490560675
CHEMBL461840,Cc1oc(CSCCSCc2cc(C(=O)O)c(C)o2)cc1C(=O)O,5000.0,PIM1 kinase,CHEMBL5619,intermediate,5000.0,5.301029995663981
CHEMBL512049,Cc1cc(CSCc2cc(C(=O)O)c(C)o2)oc1C(=O)O,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356
CHEMBL447111,Cc1ccc(OCc2ccoc2C(=O)O)cc1C,11000.0,PIM1 kinase,CHEMBL5619,inactive,11000.0,4.958607314841775
CHEMBL448841,O=C(O)c1oc2ccccc2c1CSc1ccccn1,27000.0,PIM1 kinase,CHEMBL5619,inactive,27000.0,4.568636235841013
CHEMBL505863,Cc1oc(CSCC2CCCO2)cc1C(=O)O,16000.0,PIM1 kinase,CHEMBL5619,inactive,16000.0,4.795880017344075
CHEMBL500760,O=C(O)CCNc1ccc(Br)cc1C(=O)O,32000.0,PIM1 kinase,CHEMBL5619,inactive,32000.0,4.494850021680094
CHEMBL511379,O=C(O)CCC1(CCC(=O)O)c2ccccc2-c2ccccc21,50000.0,PIM1 kinase,CHEMBL5619,inactive,50000.0,4.301029995663981
CHEMBL145352,O=C(Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12)c1ccccc1,27000.0,PIM1 kinase,CHEMBL5619,inactive,27000.0,4.568636235841013
CHEMBL468905,CC1([N+](=O)[O-])CN(CCC(=O)O)CN(CCC(=O)O)C1,50000.0,PIM1 kinase,CHEMBL5619,inactive,50000.0,4.301029995663981
CHEMBL469106,O=C(O)CCn1c(=O)[nH]c(=O)n(CCC(=O)O)c1=O,33000.0,PIM1 kinase,CHEMBL5619,inactive,33000.0,4.481486060122113
CHEMBL498855,O=C(O)CCS(=O)(=O)CCC(=O)O,40000.0,PIM1 kinase,CHEMBL5619,inactive,40000.0,4.3979400086720375
CHEMBL509918,O=C(O)CC[S+]([O-])CCC(=O)O,40000.0,PIM1 kinase,CHEMBL5619,inactive,40000.0,4.3979400086720375
CHEMBL500208,O=C(O)CSc1cccc(C(=O)O)c1,33000.0,PIM1 kinase,CHEMBL5619,inactive,33000.0,4.481486060122113
CHEMBL468074,O=C(O)c1cccc(NC(=O)C2CCCCC2C(=O)O)c1,55000.0,PIM1 kinase,CHEMBL5619,inactive,55000.0,4.259637310505756
